country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","09-04-2026 11:00:00",25.560083,87.553265,PM2.5,13,27,19
India,Bihar,Patna,"Muradpur, Patna - BSPCB","09-04-2026 11:00:00",25.619651,85.147382,CO,4,30,18
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","09-04-2026 11:00:00",25.599486,85.113666,PM2.5,56,97,68
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","09-04-2026 11:00:00",25.599486,85.113666,PM10,75,126,97
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","09-04-2026 11:00:00",26.63086,84.90051,PM10,12,80,44
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","09-04-2026 11:00:00",26.63086,84.90051,NO2,8,12,10
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","09-04-2026 11:00:00",26.63086,84.90051,NH3,3,3,3
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","09-04-2026 11:00:00",26.0881305,87.93840336,NH3,3,3,3
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","09-04-2026 11:00:00",26.0881305,87.93840336,OZONE,32,34,33
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","09-04-2026 11:00:00",26.1403345,85.3650192,PM2.5,47,65,50
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","09-04-2026 11:00:00",25.610369,85.132568,PM2.5,59,194,94
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","09-04-2026 11:00:00",25.592539,85.227158,NH3,4,5,5
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","09-04-2026 11:00:00",26.1209,85.3647,NO2,9,13,12
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","09-04-2026 11:00:00",25.892357,86.590325,NO2,6,8,7
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","09-04-2026 11:00:00",25.859655,85.77944,PM10,25,123,74
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","09-04-2026 11:00:00",25.859655,85.77944,NO2,8,9,8
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","09-04-2026 11:00:00",25.859655,85.77944,SO2,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","09-04-2026 11:00:00",30.751462,76.762879,OZONE,1,45,15
